id,Year 2005,Year 2006,Year 2007,Year 2008,Year 2009,Year 2010,Year 2011,Year 2012,Year 2013,Year 2014
AHMADABAD,0.972201993,0.957706161,0.947843123,0.95769962,0.958489517,0.960401026,0.963092096,0.967925493,0.990934761,0.981018043
AMRELI,1.015795078,1.010036753,1.021691993,1.02126997,1.038102421,1.02010887,1.041910192,1.034864416,1.016178752,1.025321736
ANAND,0.930133783,0.937956638,0.940839926,0.960218341,0.961984452,0.956890807,0.9732218,0.977400305,0.98877313,1.003479729
BANAS KANTHA,0.867897882,0.900876061,0.911248033,0.914152644,0.918964254,0.922912285,0.933414882,0.954937331,0.978029889,0.999502789
BHARUCH,1.021756961,1.037571352,1.033421039,1.038739656,1.032219973,1.033428992,1.046024531,1.049496975,1.048087015,1.055362989
BHAVNAGAR,0.996167284,0.987623173,0.980090028,0.976926901,0.977629032,0.977759448,1.001020653,1.017719774,0.999973124,1.021644658
DAHOD,0.995471562,1.016544523,1.033388145,1.034287865,1.025454313,1.018093313,1.034492108,1.042456817,1.023176143,1.033007826
DANGS,1.065110963,1.03516604,1.012972703,1.009709995,1.032668892,0.961596686,0.958830378,0.957467824,0.956475831,0.955144074
GANDHINAGAR,0.897015809,0.88985385,0.900371036,0.908843289,0.913324398,0.911515109,0.973124108,0.961491704,0.937794063,0.952953422
JAMNAGAR,1.006639925,1.030810642,1.040528248,1.07278978,1.035116614,1.037270083,1.033161705,1.044009939,1.026247488,1.002881781
JUNAGARH,1.012923761,1.02355186,1.019085248,1.021629635,1.021560421,1.024191722,1.027427022,1.031884352,1.033791554,1.019975248
KACHCHH,0.948078797,0.966884681,0.969404981,0.980094976,0.984637776,0.963942351,0.975917311,0.98413446,0.998488356,1.0189465
KHERA,0.937865276,0.958923581,0.971662278,0.978161916,0.989452366,0.997381022,1.008606165,1.009855493,1.017493053,1.020869565
MAHESANA,0.894261153,0.907999042,0.903665628,0.907304789,0.912409786,0.910333601,0.923686456,0.942201492,0.948932481,0.968158312
NARMADA,1.039303115,1.067412321,1.081024931,1.071018734,1.074156837,1.076176126,1.087574283,1.07874597,1.077679919,1.082448037
NAVSARI,1.04106985,1.035325858,1.032372032,1.039873572,1.046537573,1.049255071,1.031566773,1.050659495,1.056743698,1.058551735
PANCHMAHAL,1.021528435,1.030794585,1.030107297,1.029445763,1.023804152,1.024650123,1.032811117,1.039772172,1.045644465,1.055685337
PATAN,0.920535426,0.931512841,0.90096992,0.914105803,0.926730686,0.936317193,0.950313577,0.972362411,0.995827086,1.020937142
PORBANDAR,1.020904476,1.044609158,1.0152799,1.038974627,1.026062375,1.027931289,1.03876243,1.036650091,1.041345602,1.051016655
RAJKOT,1.01983042,1.001822178,1.010722449,1.018713073,0.996945373,0.969297295,0.98064163,0.950398924,0.960435456,0.962773484
SABAR KANTHA,0.990208586,0.998705253,0.996676726,1.004953492,0.993956451,0.993535447,1.003381913,1.003663607,1.008865716,1.008964402
SURAT,1.000424774,1.0056776,1.006126272,0.998817348,1.012081635,1.013268858,1.029281896,1.04373874,1.040034093,1.05488101
SURENDRANAGAR,0.957177622,0.959360908,0.974936805,0.983165148,0.970672092,0.964231667,0.971610848,0.977917959,0.991599674,1.011911449
TAPI,NA,NA,NA,1.074938978,1.075443413,1.073593803,1.086273066,1.087243026,1.098011908,1.104682324
VADODARA,0.978096284,0.965792161,1.013675829,1.005829651,0.982368702,0.976878213,0.985835661,1.004666877,0.994839506,0.999378168
VALSAD,1.044078542,1.052201954,1.049913438,1.078126777,1.10132898,1.047909337,1.052827725,1.049290487,1.060346503,1.063212172
