YEAR,KACHCHH,BANASKANTHA,PATAN,MAHESANA,SABARKANTHA,GANDHINAGAR,AHMADABAD,SURENDRANAGAR,RAJKOT,JAMNAGAR,PORBANDAR,JUNAGADH,AMRELI,BHAVNAGAR,ANAND,KHEDA,PANCH MAHALS,DOHAD,VADODARA,NARMADA,BHARUCH,THE DANGS,NAVSARI,VALSAD,SURAT,TAPI,ARAVALLI,BOTAD,DEVBHOOMI DWARKA,GIR SOMNATH,MAHISAGGER,CHHOTAUDEPUR,MORBI
2005,0.948078797,0.867897882,0.920535426,0.894261153,0.990208586,0.897015809,0.972201993,0.957177622,1.01983042,1.006639925,1.020904476,1.012923761,1.015795078,0.996167284,0.930133783,0.937865276,1.021528435,0.995471562,0.978096284,1.039303115,1.021756961,1.065110963,1.04106985,1.044078542,1.000424774,NA,NA,NA,NA,NA,NA,NA,NA
2006,0.966884681,0.900876061,0.931512841,0.907999042,0.998705253,0.88985385,0.957706161,0.959360908,1.001822178,1.030810642,1.044609158,1.02355186,1.010036753,0.987623173,0.937956638,0.958923581,1.030794585,1.016544523,0.965792161,1.067412321,1.037571352,1.03516604,1.035325858,1.052201954,1.0056776,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.969404981,0.911248033,0.90096992,0.903665628,0.996676726,0.900371036,0.947843123,0.974936805,1.010722449,1.040528248,1.0152799,1.019085248,1.021691993,0.980090028,0.940839926,0.971662278,1.030107297,1.033388145,1.013675829,1.081024931,1.033421039,1.012972703,1.032372032,1.049913438,1.006126272,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.980094976,0.914152644,0.914105803,0.907304789,1.004953492,0.908843289,0.95769962,0.983165148,1.018713073,1.07278978,1.038974627,1.021629635,1.02126997,0.976926901,0.960218341,0.978161916,1.029445763,1.034287865,1.005829651,1.071018734,1.038739656,1.009709995,1.039873572,1.078126777,0.998817348,1.074938978,NA,NA,NA,NA,NA,NA,NA
2009,0.984637776,0.918964254,0.926730686,0.912409786,0.993956451,0.913324398,0.958489517,0.970672092,0.996945373,1.035116614,1.026062375,1.021560421,1.038102421,0.977629032,0.961984452,0.989452366,1.023804152,1.025454313,0.982368702,1.074156837,1.032219973,1.032668892,1.046537573,1.10132898,1.012081635,1.075443413,NA,NA,NA,NA,NA,NA,NA
2010,0.963942351,0.922912285,0.936317193,0.910333601,0.993535447,0.911515109,0.960401026,0.964231667,0.969297295,1.037270083,1.027931289,1.024191722,1.02010887,0.977759448,0.956890807,0.997381022,1.024650123,1.018093313,0.976878213,1.076176126,1.033428992,0.961596686,1.049255071,1.047909337,1.013268858,1.073593803,NA,NA,NA,NA,NA,NA,NA
2011,0.975917311,0.933414882,0.950313577,0.923686456,1.003381913,0.973124108,0.963092096,0.971610848,0.98064163,1.033161705,1.03876243,1.027427022,1.041910192,1.001020653,0.9732218,1.008606165,1.032811117,1.034492108,0.985835661,1.087574283,1.046024531,0.958830378,1.031566773,1.052827725,1.029281896,1.086273066,NA,NA,NA,NA,NA,NA,NA
2012,0.98413446,0.954937331,0.972362411,0.942201492,1.003663607,0.961491704,0.967925493,0.977917959,0.950398924,1.044009939,1.036650091,1.031884352,1.034864416,1.017719774,0.977400305,1.009855493,1.039772172,1.042456817,1.004666877,1.07874597,1.049496975,0.957467824,1.050659495,1.049290487,1.04373874,1.087243026,NA,NA,NA,NA,NA,NA,NA
2013,0.998488356,0.978029889,0.995827086,0.948932481,1.008865716,0.937794063,0.990934761,0.991599674,0.960435456,1.026247488,1.041345602,1.033791554,1.016178752,0.999973124,0.98877313,1.017493053,1.045644465,1.023176143,0.994839506,1.077679919,1.048087015,0.956475831,1.056743698,1.060346503,1.040034093,1.098011908,NA,NA,NA,NA,NA,NA,NA
2014,1.0189465,0.999502789,1.020937142,0.968158312,1.008964402,0.952953422,0.981018043,1.011911449,0.962773484,1.002881781,1.051016655,1.019975248,1.025321736,1.021644658,1.003479729,1.020869565,1.055685337,1.033007826,0.999378168,1.082448037,1.055362989,0.955144074,1.058551735,1.063212172,1.05488101,1.104682324,1.038503495,1.016500251,1.040313208,1.071076474,1.056291746,1.043485731,0.996101604
