YEAR,KACHCHH,BANASKANTHA,PATAN,MAHESANA,SABARKANTHA,GANDHINAGAR,AHMADABAD,SURENDRANAGAR,RAJKOT,JAMNAGAR,PORBANDAR,JUNAGADH,AMRELI,BHAVNAGAR,ANAND,KHEDA,PANCH MAHALS,DOHAD,VADODARA,NARMADA,BHARUCH,THE DANGS,NAVSARI,VALSAD,SURAT,TAPI,ARAVALLI,BOTAD,DEVBHOOMI DWARKA,GIR SOMNATH,MAHISAGGER,CHHOTAUDEPUR,MORBI
2005,0.388793619,0.284988166,0.354913719,0.594104507,0.607252964,0.69797827,0.641411112,0.517153413,0.691832457,0.604714561,0.708943596,0.685930838,0.694229732,0.580624565,0.58788674,0.570256061,0.506027596,0.285903109,0.502521377,0.617253278,0.686927865,0.612631252,0.279653367,0.778475548,0.557477382,NA,NA,NA,NA,NA,NA,NA,NA
2006,0.447635698,0.347487939,0.456568654,0.652181996,0.717616672,0.801581647,0.743138098,0.631528418,0.791549612,0.686545373,0.82498384,0.833186381,0.82258584,0.671470665,0.735319516,0.701840138,0.584290593,0.401918253,0.504992694,0.81162608,0.821081485,0.727884777,0.36716874,0.904877174,0.617001168,NA,NA,NA,NA,NA,NA,NA,NA
2007,0.491841899,0.372207155,0.481613825,0.657128882,0.765476145,0.762826314,0.754923012,0.659658146,0.872757933,0.725412392,0.80243735,0.8584801,0.838874012,0.74327891,0.770205156,0.753604413,0.656175442,0.494920267,0.493242678,0.93486786,0.848853166,0.756111333,0.361003861,0.869423382,0.663732295,NA,NA,NA,NA,NA,NA,NA,NA
2008,0.496576459,0.455824827,0.521971774,0.68987595,0.827993839,0.815976291,0.767919605,0.726991375,0.858429083,0.760420768,0.876178616,0.915031737,0.804022596,0.753721327,0.857791865,0.898869144,0.713238662,0.550895709,0.662254363,0.997894367,0.88543805,0.743637801,0.384549356,0.766546237,0.655600249,0.79780274,NA,NA,NA,NA,NA,NA,NA
2009,0.523805717,0.462084883,0.579193824,0.727160919,0.738928427,0.815914158,0.778438289,0.6910791,0.931392311,0.779625279,0.930173661,0.972456266,0.865044248,0.747303642,0.920148369,0.983586101,0.691794854,0.525999867,0.66556662,0.941156635,0.930276982,0.779292069,0.390264198,1.017112843,0.71416215,0.883155706,NA,NA,NA,NA,NA,NA,NA
2010,0.52218193,0.465333937,0.567046173,0.726200707,0.736562272,0.765553554,0.762854831,0.690544413,0.897249136,0.754893916,0.942825929,0.956483932,0.902263374,0.747660064,0.868089573,0.978177515,0.70695585,0.545445699,0.729077085,0.893830948,0.916660898,0.810487781,0.336314035,0.935800539,0.743991089,0.871592731,NA,NA,NA,NA,NA,NA,NA
2011,0.60456942,0.565101511,0.653456998,0.803770914,0.829331748,0.752746194,0.797495424,0.735743665,0.886144883,0.855818553,1.064959878,1.057967576,0.974498297,0.874814465,0.975751597,1.050414064,0.803362111,0.659451089,0.804780763,1.010136316,0.959360987,0.864013384,0.494750907,1.001067046,0.817470513,0.981303116,NA,NA,NA,NA,NA,NA,NA
2012,0.740944882,0.755032132,0.817198764,0.959689831,0.887817238,0.893321513,0.839682161,0.886300643,0.895857361,0.867827208,1.03195311,1.065243179,1.008351401,0.911425919,0.959961969,1.059948399,0.983407309,0.746375787,0.915724685,0.952405949,1.028119249,0.841380049,0.663812642,1.01010202,0.882363989,1.104407979,NA,NA,NA,NA,NA,NA,NA
2013,0.791376789,0.807919738,0.985362223,1.017112769,0.867275748,0.91541101,0.889787942,0.88034188,0.861202285,0.949264418,1.133650519,1.210446816,1.021061158,0.950337838,1.025808314,1.04608621,0.926424621,0.691641566,0.883297305,0.978414518,1.033515783,0.867811284,0.785121681,1.064291737,0.898861956,1.081892487,NA,NA,NA,NA,NA,NA,NA
2014,0.981526613,0.964145694,1.210536236,1.214025045,0.935019994,1.051187688,0.973089041,1.126217468,1.013495104,1.080763583,1.382475299,1.35062825,1.200371058,1.175735761,1.11521324,1.154396928,1.052620995,0.702664044,1.039367342,1.092695429,1.139134792,0.946053669,0.87473525,1.170202899,0.921474561,1.155440415,1.017826337,1.188131786,1.198756661,1.393426184,0.996828521,0.787808723,1.01559501
