YEAR,KACHCHH,BANASKANTHA,PATAN,MAHESANA,SABARKANTHA,GANDHINAGAR,AHMADABAD,SURENDRANAGAR,RAJKOT,JAMNAGAR,PORBANDAR,JUNAGADH,AMRELI,BHAVNAGAR,ANAND,KHEDA,PANCH MAHALS,DOHAD,VADODARA,NARMADA,BHARUCH,THE DANGS,NAVSARI,VALSAD,SURAT,TAPI,ARAVALLI,BOTAD,DEVBHOOMI DWARKA,GIR SOMNATH,MAHISAGGER,CHHOTAUDEPUR,MORBI
2005,114911,211435,76615,122305,169412,88174,300933,122213,162448,104160,38896,190492,101989,192514,134527,150844,172326,145732,169111,42617,83491,218302,21820,79303,98900,NA,NA,NA,NA,NA,NA,NA,NA
2006,120897,224292,79134,123540,170206,91299,314720,125242,175052,111506,40601,195077,103538,204002,137293,154846,176419,166924,168520,43275,104496,257827,22675,77438,102364,NA,NA,NA,NA,NA,NA,NA,NA
2007,124582,229508,85730,121155,168340,90727,336630,123864,177300,111646,38558,195879,101324,211749,134045,156203,179406,171848,182176,42539,103627,264027,23182,75833,104170,NA,NA,NA,NA,NA,NA,NA,NA
2008,132239,231094,85403,120861,167874,93277,335767,123608,176571,112159,38359,192476,106623,211648,132514,155615,178784,172123,197323,40968,102676,213365,23668,84337,104715,52688,NA,NA,NA,NA,NA,NA,NA
2009,137651,238089,91498,122864,165763,90144,345203,120860,179304,107304,38889,189222,105491,202891,133219,152558,177157,174741,212440,40602,101341,233476,24265,83557,105780,52480,NA,NA,NA,NA,NA,NA,NA
2010,144689,247207,93151,128190,168154,90583,357595,124200,202109,108407,39932,188788,100419,206728,134963,153090,179155,175365,227108,41036,102440,267793,27537,80686,111505,52154,NA,NA,NA,NA,NA,NA,NA
2011,153748,252433,96011,128514,171867,96719,380827,127761,212248,111199,40756,191011,101592,209970,134289,154429,184400,179982,232525,41075,104210,287543,28408,81293,114634,52105,NA,NA,NA,NA,NA,NA,NA
2012,166060,269795,104643,139578,184896,105353,430671,135575,242765,140857,42813,199989,102814,225694,149569,164207,197798,198356,265956,43364,112801,337567,28422,83142,120254,54724,NA,NA,NA,NA,NA,NA,NA
2013,170135,272918,105188,137795,182934,104834,452697,134502,244658,142250,41313,191796,100788,216468,144128,160370,194580,194942,266355,42501,110352,357414,28054,80388,119650,53548,NA,NA,NA,NA,NA,NA,NA
2014,173049,273701,104279,135364,105629,104654,437462,117841,191333,88825,39363,91204,96005,175749,141997,138792,131148,194484,194135,41573,107302,369672,27860,78538,119170,51949,75521,50636,52856,92232,77848,71597,70263
