,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,districtname
KACHCHH,0.4448996,0.509120236,0.535881356,0.533828751,0.551453544,0.56065975,0.64405427,0.788288756,0.850774374,1.017836541,1
BANAS KANTHA,0.405222654,0.455771938,0.462094733,0.524675906,0.527351347,0.53250861,0.617980428,0.848023048,0.905623892,1.046395229,2
PATAN,0.432038269,0.542606596,0.565660186,0.59598228,0.648586437,0.624114916,0.716621253,0.917243583,1.082442085,1.270453638,3
MAHESANA,0.652199657,0.715820191,0.710659241,0.737308909,0.763693271,0.766135416,0.841431348,1.05156752,1.120174055,1.29436643,4
SABAR KANTHA,0.646070542,0.743600283,0.765735292,0.816283223,0.742958467,0.742104017,0.822100747,0.905255624,0.913270969,0.973838059,5
GANDHINAGAR,0.760009721,0.854318386,0.814985555,0.855867971,0.869372602,0.820797907,0.807672337,0.990956118,1.011010496,1.145108465,6
AHMADABAD,0.681031007,0.775650706,0.784926117,0.80764963,0.808055956,0.787395464,0.832372821,0.895235815,0.935194788,1.020959831,7
SURENDRANAGAR,0.588439306,0.691558226,0.700501692,0.738126013,0.718505688,0.720345109,0.769768489,0.950505247,0.955208131,1.188403063,8
RAJKOT,0.711669011,0.793752895,0.862850991,0.844856543,0.903991333,0.886480311,0.902564854,0.948318223,0.913990955,1.051545788,9
JAMNAGAR,0.644590534,0.684400717,0.72687106,0.746595252,0.765359477,0.752965632,0.8602709,0.900914277,0.981673095,1.095729683,10
PORBANDAR,0.725540491,0.793257915,0.807957216,0.860787111,0.923872499,0.935497506,1.044853467,1.026760942,1.138969371,1.354164134,11
JUNAGADH,0.717610957,0.846702544,0.880304856,0.925326759,0.972101456,0.974960681,1.058987519,1.088980838,1.231248993,1.409773466,12
AMRELI,0.711282212,0.822594068,0.832417413,0.816807417,0.823051087,0.894169227,0.954155021,1.03267445,1.03736356,1.217795911,13
BHAVNAGAR,0.629321186,0.697913397,0.771326022,0.772318534,0.769138282,0.770032167,0.895351799,0.966328567,1.006727862,1.22521937,14
ANAND,0.634757593,0.776404761,0.823371648,0.90571621,0.941012682,0.899146272,1.003748269,1.028920803,1.091908855,1.165783046,15
KHEDA,0.666471392,0.780602923,0.812066494,0.944966243,1.021370069,1.019804797,1.073436901,1.114354297,1.096046283,1.191495889,16
PANCH MAHALS,0.555047485,0.606446402,0.660782809,0.7068107,0.693740698,0.707446897,0.789157631,1.003730078,0.957340001,1.071991254,17
DOHAD,0.343953056,0.437636173,0.507899749,0.544312893,0.526393561,0.532955089,0.631836274,0.738364484,0.706825854,0.722258542,18
VADODARA,0.544104571,0.541700405,0.512566977,0.69129335,0.704848378,0.756005309,0.841751519,0.96789216,0.93532494,1.10108836,19
NARMADA,0.644552933,0.835145879,0.926743521,0.923622567,0.93877386,0.879241272,0.983730928,0.940307329,0.969691386,1.08509772,20
BHARUCH,0.724502378,0.84256143,0.867557678,0.883935604,0.915491152,0.915273206,0.975931521,1.042151163,1.05961698,1.163954793,21
THE DANGS,0.608940157,0.713540844,0.746728931,0.739206454,0.786374401,0.809882849,0.876392573,0.877851508,0.902008201,0.962666332,22
NAVSARI,0.292156863,0.380886279,0.372869172,0.388108662,0.383330038,0.317639306,0.48009882,0.642123288,0.766107201,0.87022563,23
VALSAD,0.770261144,0.895539507,0.842070061,0.772770237,0.99934056,0.919536451,0.984785557,1.041610349,1.1,1.162703241,24
SURAT,0.562050428,0.63022126,0.654602821,0.670308243,0.724459471,0.748529371,0.820667336,0.895426994,0.917576687,0.938600231,25
TAPI,NA,NA,NA,0.764224241,0.861923125,0.871534076,0.932624594,1.086636954,1.092087103,1.144429394,26
ARAVALLI,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.070224874,27
BOTAD,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.237881587,28
DEVBHOOMI DWARKA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.210844385,29
GIR SOMNATH,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.404633822,30
MAHISAGGER,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.026357323,31
CHHOTAUDEPUR,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.814185049,32
MORBI,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.034753735,33
